w,AUC,AP,Accuracy,Tau,alpha_1,alpha_2,alpha_3,alpha_4,beta_1,beta_2,beta_3,beta_4
0.6,0.8578724310193736,0.8748969219090708,0.7711818672423097,0.47437185929648246,0.17697919650296062,0.3746130731805403,0.2703454709019066,0.17806225941459206,0.24222320445043413,0.24457333491349095,0.2727022258140125,0.24050123482206223
0.7,0.8532746448416227,0.8724040235107027,0.7698327037236913,0.4683417085427136,0.1938573470045492,0.3453798117935273,0.2668262887338445,0.1939365524680787,0.24250140072763837,0.24456955488552562,0.27154379830830955,0.2413852460785263
0.8,0.8491678871997363,0.8701674349012837,0.770102536427415,0.47738693467336685,0.20879135621248832,0.3195138382266572,0.2637124701375885,0.20798233542326564,0.24278742779866633,0.2445656684556344,0.2703527628646137,0.24229414088108522
0.9,0.8457554427426069,0.8680985023554197,0.7687533729087965,0.47738693467336685,0.22209884081104034,0.2964650346485337,0.26093779038244724,0.22049833415797845,0.2430816210204623,0.2445616710671115,0.269127723034661,0.24322898487776484
