w,AUC,AP,Accuracy,Optimal_Tau,alpha_1,alpha_2,alpha_3,alpha_4,beta_1,beta_2,beta_3,beta_4
0.6,1.0,1.0,1.0,0.5612612612612613,0.14980783611120904,0.15075039656488853,0.49962908623842767,0.19981268108547431,0.18154240570484806,0.1818738775556352,0.45478086886619273,0.18180284787332365
0.7,1.0,1.0,1.0,0.5324324324324324,0.1748082281851455,0.17558270029018533,0.499721763077869,0.1498873084467997,0.15763491767936608,0.15792267275154906,0.5265813986187174,0.15786101095036698
0.8,1.0,1.0,1.0,0.5476476476476477,0.19981789668930253,0.20042421807628738,0.49981447430518033,0.09994341092922923,0.12478978934643557,0.12501748444067246,0.6252240335781268,0.12496869263476454
0.9,1.0,1.0,1.0,0.5732732732732733,0.22483684678768667,0.22527495505248132,0.49990721993950493,0.049980978220326704,0.07684290893726192,0.07698292927648583,0.7692212368681707,0.0769529249180807
