w,alpha_u_in,alpha_u_out,alpha_v_in,alpha_v_out,beta_jaccard,beta_adamic,beta_pa,beta_cn
0.6,0.18526094432594883,0.35010266126954814,0.29001066703823564,0.1746257273662671,0.23642569567318422,0.25060782385136326,0.2611996562657916,0.2517668242096607
0.7,0.19905545596097143,0.32752808368176095,0.2818276420962736,0.19158881826099353,0.23813063932619183,0.24920177564154927,0.2626629716591091,0.2500046133731495
0.8,0.21129828424256167,0.30749282007481865,0.2745650892898331,0.20664380639278623,0.2399090221189897,0.24773516298384274,0.2641893182403123,0.24816649665685497
0.9,0.2222373011177277,0.2895912305357163,0.26807596881218165,0.22009549953437405,0.24176569349654245,0.24620398659451415,0.26578285818065717,0.246247461728286
